Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season
18,19,Wind,361,Tuesday,December,Winter
8,9,Wind,361,Tuesday,December,Winter
17,18,Wind,361,Tuesday,December,Winter
7,8,Wind,361,Tuesday,December,Winter
5,6,Wind,361,Tuesday,December,Winter
14,15,Wind,361,Tuesday,December,Winter
1,2,Wind,361,Tuesday,December,Winter
20,21,Wind,361,Tuesday,December,Winter
12,13,Wind,361,Tuesday,December,Winter
4,5,Wind,361,Tuesday,December,Winter
21,22,Wind,361,Tuesday,December,Winter
1,2,Wind,362,Wednesday,December,Winter
6,7,Wind,362,Wednesday,December,Winter
14,15,Wind,362,Wednesday,December,Winter
7,8,Wind,362,Wednesday,December,Winter
8,9,Wind,362,Wednesday,December,Winter
16,17,Wind,362,Wednesday,December,Winter
23,0,Wind,362,Wednesday,December,Winter
22,23,Wind,362,Wednesday,December,Winter
9,10,Wind,362,Wednesday,December,Winter
12,13,Wind,362,Wednesday,December,Winter
20,21,Wind,362,Wednesday,December,Winter
3,4,Wind,362,Wednesday,December,Winter
0,1,Wind,362,Wednesday,December,Winter
19,20,Wind,362,Wednesday,December,Winter
18,19,Wind,362,Wednesday,December,Winter
13,14,Wind,362,Wednesday,December,Winter
2,3,Wind,362,Wednesday,December,Winter
21,22,Wind,362,Wednesday,December,Winter
15,16,Wind,362,Wednesday,December,Winter
10,11,Wind,362,Wednesday,December,Winter
17,18,Wind,362,Wednesday,December,Winter
5,6,Wind,362,Wednesday,December,Winter
11,12,Wind,362,Wednesday,December,Winter
4,5,Wind,362,Wednesday,December,Winter
17,18,Wind,363,Thursday,December,Winter
13,14,Wind,363,Thursday,December,Winter
9,10,Wind,363,Thursday,December,Winter
5,6,Wind,363,Thursday,December,Winter
4,5,Wind,363,Thursday,December,Winter
10,11,Wind,363,Thursday,December,Winter
21,22,Wind,363,Thursday,December,Winter
12,13,Wind,363,Thursday,December,Winter
16,17,Wind,363,Thursday,December,Winter
1,2,Wind,363,Thursday,December,Winter
0,1,Wind,363,Thursday,December,Winter
3,4,Wind,363,Thursday,December,Winter
6,7,Wind,363,Thursday,December,Winter
8,9,Wind,363,Thursday,December,Winter
14,15,Wind,363,Thursday,December,Winter
15,16,Wind,363,Thursday,December,Winter
18,19,Wind,363,Thursday,December,Winter
22,23,Wind,363,Thursday,December,Winter
2,3,Wind,363,Thursday,December,Winter
7,8,Wind,363,Thursday,December,Winter
19,20,Wind,363,Thursday,December,Winter
20,21,Wind,363,Thursday,December,Winter
11,12,Wind,363,Thursday,December,Winter
23,0,Wind,363,Thursday,December,Winter
2,3,Wind,364,Friday,December,Winter
15,16,Wind,364,Friday,December,Winter
22,23,Wind,364,Friday,December,Winter
4,5,Wind,364,Friday,December,Winter
8,9,Wind,364,Friday,December,Winter
21,22,Wind,364,Friday,December,Winter
20,21,Wind,364,Friday,December,Winter
14,15,Wind,364,Friday,December,Winter
9,10,Wind,364,Friday,December,Winter
6,7,Wind,364,Friday,December,Winter
1,2,Wind,364,Friday,December,Winter
0,1,Wind,364,Friday,December,Winter
3,4,Wind,364,Friday,December,Winter
12,13,Wind,364,Friday,December,Winter
10,11,Wind,364,Friday,December,Winter
5,6,Wind,364,Friday,December,Winter
23,0,Wind,364,Friday,December,Winter
17,18,Wind,364,Friday,December,Winter
11,12,Wind,364,Friday,December,Winter
7,8,Wind,364,Friday,December,Winter
18,19,Wind,364,Friday,December,Winter
16,17,Wind,364,Friday,December,Winter
13,14,Wind,364,Friday,December,Winter
19,20,Wind,364,Friday,December,Winter
2,3,Wind,365,Saturday,December,Winter
10,11,Wind,365,Saturday,December,Winter
12,13,Wind,365,Saturday,December,Winter
22,23,Wind,365,Saturday,December,Winter
1,2,Wind,365,Saturday,December,Winter
16,17,Wind,365,Saturday,December,Winter
19,20,Wind,365,Saturday,December,Winter
23,0,Wind,365,Saturday,December,Winter
7,8,Wind,365,Saturday,December,Winter
0,1,Wind,365,Saturday,December,Winter
18,19,Wind,365,Saturday,December,Winter
15,16,Wind,365,Saturday,December,Winter
20,21,Wind,365,Saturday,December,Winter
3,4,Wind,365,Saturday,December,Winter
4,5,Wind,365,Saturday,December,Winter
8,9,Wind,365,Saturday,December,Winter
13,14,Wind,365,Saturday,December,Winter
14,15,Wind,365,Saturday,December,Winter
17,18,Wind,365,Saturday,December,Winter
5,6,Wind,365,Saturday,December,Winter
6,7,Wind,365,Saturday,December,Winter
11,12,Wind,365,Saturday,December,Winter
21,22,Wind,365,Saturday,December,Winter
9,10,Wind,365,Saturday,December,Winter
18,19,Wind,1,Sunday,January,Winter
21,22,Wind,1,Sunday,January,Winter
19,20,Wind,1,Sunday,January,Winter
14,15,Wind,1,Sunday,January,Winter
8,9,Wind,1,Sunday,January,Winter
4,5,Wind,1,Sunday,January,Winter
0,1,Wind,1,Sunday,January,Winter
23,0,Wind,1,Sunday,January,Winter
20,21,Wind,1,Sunday,January,Winter
12,13,Wind,1,Sunday,January,Winter
1,2,Wind,1,Sunday,January,Winter
16,17,Wind,1,Sunday,January,Winter
2,3,Wind,1,Sunday,January,Winter
15,16,Wind,1,Sunday,January,Winter
5,6,Wind,1,Sunday,January,Winter
3,4,Wind,1,Sunday,January,Winter
6,7,Wind,1,Sunday,January,Winter
7,8,Wind,1,Sunday,January,Winter
9,10,Wind,1,Sunday,January,Winter
10,11,Wind,1,Sunday,January,Winter
11,12,Wind,1,Sunday,January,Winter
13,14,Wind,1,Sunday,January,Winter
17,18,Wind,1,Sunday,January,Winter
22,23,Wind,1,Sunday,January,Winter
12,13,Wind,2,Monday,January,Winter
2,3,Wind,2,Monday,January,Winter
11,12,Wind,2,Monday,January,Winter
18,19,Wind,2,Monday,January,Winter
7,8,Wind,2,Monday,January,Winter
19,20,Wind,2,Monday,January,Winter
14,15,Wind,2,Monday,January,Winter
0,1,Wind,2,Monday,January,Winter
1,2,Wind,2,Monday,January,Winter
22,23,Wind,2,Monday,January,Winter
13,14,Wind,2,Monday,January,Winter
5,6,Wind,2,Monday,January,Winter
6,7,Wind,2,Monday,January,Winter
3,4,Wind,2,Monday,January,Winter
21,22,Wind,2,Monday,January,Winter
16,17,Wind,2,Monday,January,Winter
20,21,Wind,2,Monday,January,Winter
4,5,Wind,2,Monday,January,Winter
15,16,Wind,2,Monday,January,Winter
10,11,Wind,2,Monday,January,Winter
9,10,Wind,2,Monday,January,Winter
17,18,Wind,2,Monday,January,Winter
8,9,Wind,2,Monday,January,Winter
23,0,Wind,2,Monday,January,Winter
1,2,Wind,3,Tuesday,January,Winter
3,4,Wind,3,Tuesday,January,Winter
15,16,Wind,3,Tuesday,January,Winter
9,10,Wind,3,Tuesday,January,Winter
16,17,Wind,3,Tuesday,January,Winter
14,15,Wind,3,Tuesday,January,Winter
21,22,Wind,3,Tuesday,January,Winter
22,23,Wind,3,Tuesday,January,Winter
17,18,Wind,3,Tuesday,January,Winter
19,20,Wind,3,Tuesday,January,Winter
20,21,Wind,3,Tuesday,January,Winter
12,13,Wind,3,Tuesday,January,Winter
18,19,Wind,3,Tuesday,January,Winter
11,12,Wind,3,Tuesday,January,Winter
0,1,Wind,3,Tuesday,January,Winter
2,3,Wind,3,Tuesday,January,Winter
10,11,Wind,3,Tuesday,January,Winter
4,5,Wind,3,Tuesday,January,Winter
13,14,Wind,3,Tuesday,January,Winter
23,0,Wind,3,Tuesday,January,Winter
8,9,Wind,3,Tuesday,January,Winter
6,7,Wind,3,Tuesday,January,Winter
7,8,Wind,3,Tuesday,January,Winter
5,6,Wind,3,Tuesday,January,Winter
2,3,Wind,4,Wednesday,January,Winter
6,7,Wind,4,Wednesday,January,Winter
15,16,Wind,4,Wednesday,January,Winter
13,14,Wind,4,Wednesday,January,Winter
12,13,Wind,4,Wednesday,January,Winter
11,12,Wind,4,Wednesday,January,Winter
8,9,Wind,4,Wednesday,January,Winter
4,5,Wind,4,Wednesday,January,Winter
5,6,Wind,4,Wednesday,January,Winter
10,11,Wind,4,Wednesday,January,Winter
3,4,Wind,4,Wednesday,January,Winter
1,2,Wind,4,Wednesday,January,Winter
17,18,Wind,4,Wednesday,January,Winter
22,23,Wind,4,Wednesday,January,Winter
0,1,Wind,4,Wednesday,January,Winter
23,0,Wind,4,Wednesday,January,Winter
7,8,Wind,4,Wednesday,January,Winter
9,10,Wind,4,Wednesday,January,Winter
21,22,Wind,4,Wednesday,January,Winter
14,15,Wind,4,Wednesday,January,Winter
18,19,Wind,4,Wednesday,January,Winter
19,20,Wind,4,Wednesday,January,Winter
16,17,Wind,4,Wednesday,January,Winter
20,21,Wind,4,Wednesday,January,Winter
14,15,Wind,5,Thursday,January,Winter
19,20,Wind,5,Thursday,January,Winter
18,19,Wind,5,Thursday,January,Winter
7,8,Wind,5,Thursday,January,Winter
11,12,Wind,5,Thursday,January,Winter
20,21,Wind,5,Thursday,January,Winter
13,14,Wind,5,Thursday,January,Winter
5,6,Wind,5,Thursday,January,Winter
1,2,Wind,5,Thursday,January,Winter
6,7,Wind,5,Thursday,January,Winter
10,11,Wind,5,Thursday,January,Winter
17,18,Wind,5,Thursday,January,Winter
4,5,Wind,5,Thursday,January,Winter
12,13,Wind,5,Thursday,January,Winter
3,4,Wind,5,Thursday,January,Winter
21,22,Wind,5,Thursday,January,Winter
23,0,Wind,5,Thursday,January,Winter
16,17,Wind,5,Thursday,January,Winter
8,9,Wind,5,Thursday,January,Winter
2,3,Wind,5,Thursday,January,Winter
15,16,Wind,5,Thursday,January,Winter
0,1,Wind,5,Thursday,January,Winter
9,10,Wind,5,Thursday,January,Winter
22,23,Wind,5,Thursday,January,Winter
22,23,Wind,6,Friday,January,Winter
20,21,Wind,6,Friday,January,Winter
9,10,Wind,6,Friday,January,Winter
0,1,Wind,6,Friday,January,Winter
8,9,Wind,6,Friday,January,Winter
13,14,Wind,6,Friday,January,Winter
15,16,Wind,6,Friday,January,Winter
3,4,Wind,6,Friday,January,Winter
6,7,Wind,6,Friday,January,Winter
21,22,Wind,6,Friday,January,Winter
2,3,Wind,6,Friday,January,Winter
12,13,Wind,6,Friday,January,Winter
19,20,Wind,6,Friday,January,Winter
10,11,Wind,6,Friday,January,Winter
17,18,Wind,6,Friday,January,Winter
5,6,Wind,6,Friday,January,Winter
1,2,Wind,6,Friday,January,Winter
4,5,Wind,6,Friday,January,Winter
16,17,Wind,6,Friday,January,Winter
7,8,Wind,6,Friday,January,Winter
23,0,Wind,6,Friday,January,Winter
18,19,Wind,6,Friday,January,Winter
14,15,Wind,6,Friday,January,Winter
11,12,Wind,6,Friday,January,Winter
0,1,Wind,7,Saturday,January,Winter
5,6,Wind,7,Saturday,January,Winter
23,0,Wind,7,Saturday,January,Winter
7,8,Wind,7,Saturday,January,Winter
10,11,Wind,7,Saturday,January,Winter
13,14,Wind,7,Saturday,January,Winter
16,17,Wind,7,Saturday,January,Winter
8,9,Wind,7,Saturday,January,Winter
12,13,Wind,7,Saturday,January,Winter
22,23,Wind,7,Saturday,January,Winter
6,7,Wind,7,Saturday,January,Winter
20,21,Wind,7,Saturday,January,Winter
14,15,Wind,7,Saturday,January,Winter
11,12,Wind,7,Saturday,January,Winter
19,20,Wind,7,Saturday,January,Winter
15,16,Wind,7,Saturday,January,Winter
4,5,Wind,7,Saturday,January,Winter
21,22,Wind,7,Saturday,January,Winter
2,3,Wind,7,Saturday,January,Winter
18,19,Wind,7,Saturday,January,Winter
17,18,Wind,7,Saturday,January,Winter
1,2,Wind,7,Saturday,January,Winter
3,4,Wind,7,Saturday,January,Winter
9,10,Wind,7,Saturday,January,Winter
