Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/9/2020,Thursday,9,7,January,9532,Winter,Wind,6
1/9/2020,Thursday,9,20,January,11189,Winter,Wind,19
1/9/2020,Thursday,9,4,January,8060,Winter,Wind,3
1/9/2020,Thursday,9,18,January,10432,Winter,Wind,17
1/9/2020,Thursday,9,17,January,10435,Winter,Wind,16
1/9/2020,Thursday,9,1,January,6309,Winter,Wind,0
1/9/2020,Thursday,9,0,January,9955,Winter,Wind,23
1/9/2020,Thursday,9,15,January,11423,Winter,Wind,14
1/9/2020,Thursday,9,14,January,12007,Winter,Wind,13
1/9/2020,Thursday,9,12,January,12014,Winter,Wind,11
1/9/2020,Thursday,9,11,January,11398,Winter,Wind,10
1/9/2020,Thursday,9,21,January,11104,Winter,Wind,20
1/9/2020,Thursday,9,3,January,7281,Winter,Wind,2
1/9/2020,Thursday,9,6,January,9302,Winter,Wind,5
1/9/2020,Thursday,9,9,January,10228,Winter,Wind,8
1/9/2020,Thursday,9,5,January,8800,Winter,Wind,4
1/9/2020,Thursday,9,23,January,10383,Winter,Wind,22
1/9/2020,Thursday,9,22,January,10944,Winter,Wind,21
1/9/2020,Thursday,9,19,January,10787,Winter,Wind,18
1/9/2020,Thursday,9,8,January,9920,Winter,Wind,7
1/9/2020,Thursday,9,2,January,6791,Winter,Wind,1
1/10/2020,Friday,10,1,January,9719,Winter,Wind,0
1/10/2020,Friday,10,18,January,2253,Winter,Wind,17
1/10/2020,Friday,10,10,January,6776,Winter,Wind,9
1/10/2020,Friday,10,6,January,7774,Winter,Wind,5
1/10/2020,Friday,10,15,January,4901,Winter,Wind,14
1/10/2020,Friday,10,22,January,1518,Winter,Wind,21
1/10/2020,Friday,10,17,January,2790,Winter,Wind,16
1/10/2020,Friday,10,21,January,1558,Winter,Wind,20
1/10/2020,Friday,10,19,January,2076,Winter,Wind,18
1/10/2020,Friday,10,13,January,6513,Winter,Wind,12
1/10/2020,Friday,10,8,January,7591,Winter,Wind,7
1/10/2020,Friday,10,9,January,7502,Winter,Wind,8
1/10/2020,Friday,10,11,January,6407,Winter,Wind,10
1/10/2020,Friday,10,7,January,7579,Winter,Wind,6
1/10/2020,Friday,10,4,January,8473,Winter,Wind,3
1/10/2020,Friday,10,16,January,3749,Winter,Wind,15
1/10/2020,Friday,10,20,January,1884,Winter,Wind,19
1/10/2020,Friday,10,14,January,5956,Winter,Wind,13
1/10/2020,Friday,10,3,January,8774,Winter,Wind,2
1/10/2020,Friday,10,5,January,8126,Winter,Wind,4
1/10/2020,Friday,10,0,January,1537,Winter,Wind,23
1/10/2020,Friday,10,2,January,9074,Winter,Wind,1
1/10/2020,Friday,10,23,January,1571,Winter,Wind,22
1/10/2020,Friday,10,12,January,6574,Winter,Wind,11
1/11/2020,Saturday,11,7,January,2912,Winter,Wind,6
1/11/2020,Saturday,11,13,January,6103,Winter,Wind,12
1/11/2020,Saturday,11,14,January,6243,Winter,Wind,13
1/11/2020,Saturday,11,18,January,3460,Winter,Wind,17
